id,customer_name,amount,transaction_date,category,tax_amount,total_amount
1,Customer_0,351.72,2026-02-01,Clothing,35.17,386.89
2,Customer_1,15.16,2026-01-22,Electronics,1.52,16.68
3,Customer_2,491.6,2026-02-11,Home,49.16,540.76
4,Customer_3,296.73,2026-01-31,Books,29.67,326.4
5,Customer_4,370.5,2026-01-22,Books,37.05,407.55
6,Customer_5,80.82,2026-02-04,Home,8.08,88.9
7,Customer_6,226.06,2026-02-04,Clothing,22.61,248.67
8,Customer_7,142.85,2026-02-12,Electronics,14.28,157.13
9,Customer_8,175.08,2026-02-13,Electronics,17.51,192.59
10,Customer_9,266.03,2026-02-08,Electronics,26.6,292.63
11,Customer_10,213.65,2026-02-17,Electronics,21.36,235.01
12,Customer_11,192.72,2026-02-09,Clothing,19.27,211.99
13,Customer_12,66.77,2026-01-26,Books,6.68,73.45
14,Customer_13,398.05,2026-01-22,Clothing,39.81,437.86
15,Customer_14,136.52,2026-02-01,Books,13.65,150.17
16,Customer_15,253.88,2026-02-11,Home,25.39,279.27
17,Customer_16,233.13,2026-01-21,Electronics,23.31,256.44
18,Customer_17,43.94,2026-01-27,Clothing,4.39,48.33
19,Customer_18,450.51,2026-02-08,Home,45.05,495.56
20,Customer_19,210.06,2026-02-11,Clothing,21.01,231.07
21,Customer_20,389.26,2026-02-15,Home,38.93,428.19
22,Customer_21,84.27,2026-02-19,Books,8.43,92.7
23,Customer_22,356.94,2026-02-18,Clothing,35.69,392.63
24,Customer_23,475.04,2026-02-04,Electronics,47.5,522.54
25,Customer_24,274.51,2026-02-01,Electronics,27.45,301.96
26,Customer_25,55.74,2026-02-03,Clothing,5.57,61.31
27,Customer_26,438.3,2026-01-22,Home,43.83,482.13
28,Customer_27,147.19,2026-02-07,Home,14.72,161.91
29,Customer_28,449.96,2026-01-28,Home,45.0,494.96
30,Customer_29,434.91,2026-01-24,Home,43.49,478.4
31,Customer_30,171.47,2026-01-30,Home,17.15,188.62
32,Customer_31,114.17,2026-02-17,Home,11.42,125.59
33,Customer_32,19.02,2026-01-29,Home,1.9,20.92
34,Customer_33,310.22,2026-01-22,Clothing,31.02,341.24
35,Customer_34,34.62,2026-02-09,Clothing,3.46,38.08
36,Customer_35,391.22,2026-02-15,Clothing,39.12,430.34
37,Customer_36,224.09,2026-02-13,Electronics,22.41,246.5
38,Customer_37,223.51,2026-02-10,Books,22.35,245.86
39,Customer_38,120.46,2026-01-27,Home,12.05,132.51
40,Customer_39,224.5,2026-01-31,Home,22.45,246.95
41,Customer_40,461.37,2026-01-27,Clothing,46.14,507.51
42,Customer_41,223.72,2026-02-10,Clothing,22.37,246.09
43,Customer_42,401.49,2026-02-10,Clothing,40.15,441.64
44,Customer_43,17.51,2026-02-16,Books,1.75,19.26
45,Customer_44,399.04,2026-01-26,Books,39.9,438.94
46,Customer_45,61.26,2026-02-17,Clothing,6.13,67.39
47,Customer_46,74.96,2026-01-31,Books,7.5,82.46
48,Customer_47,413.8,2026-02-16,Books,41.38,455.18
49,Customer_48,30.66,2026-02-10,Clothing,3.07,33.73
50,Customer_49,340.99,2026-01-30,Electronics,34.1,375.09
51,Customer_50,108.6,2026-01-31,Electronics,10.86,119.46
52,Customer_51,38.3,2026-02-01,Home,3.83,42.13
53,Customer_52,309.37,2026-02-11,Books,30.94,340.31
54,Customer_53,149.52,2026-02-06,Clothing,14.95,164.47
55,Customer_54,300.93,2026-02-20,Home,30.09,331.02
56,Customer_55,327.66,2026-02-15,Electronics,32.77,360.43
57,Customer_56,79.2,2026-02-03,Books,7.92,87.12
58,Customer_57,48.65,2026-02-11,Home,4.86,53.51
59,Customer_58,255.88,2026-02-19,Books,25.59,281.47
60,Customer_59,229.63,2026-02-09,Books,22.96,252.59
61,Customer_60,239.52,2026-01-21,Clothing,23.95,263.47
62,Customer_61,299.89,2026-01-24,Home,29.99,329.88
63,Customer_62,92.41,2026-02-15,Electronics,9.24,101.65
64,Customer_63,337.84,2026-01-26,Books,33.78,371.62
65,Customer_64,104.44,2026-02-07,Books,10.44,114.88
66,Customer_65,57.22,2026-02-03,Electronics,5.72,62.94
67,Customer_66,224.48,2026-02-09,Home,22.45,246.93
68,Customer_67,48.62,2026-01-22,Electronics,4.86,53.48
69,Customer_68,257.58,2026-02-08,Clothing,25.76,283.34
70,Customer_69,231.23,2026-02-12,Electronics,23.12,254.35
71,Customer_70,49.69,2026-02-02,Clothing,4.97,54.66
72,Customer_71,266.33,2026-01-21,Home,26.63,292.96
73,Customer_72,228.12,2026-02-08,Electronics,22.81,250.93
74,Customer_73,439.51,2026-02-15,Clothing,43.95,483.46
75,Customer_74,260.58,2026-02-08,Electronics,26.06,286.64
76,Customer_75,475.37,2026-01-26,Electronics,47.54,522.91
77,Customer_76,29.56,2026-01-23,Home,2.96,32.52
78,Customer_77,367.45,2026-01-22,Electronics,36.74,404.19
79,Customer_78,392.98,2026-02-14,Electronics,39.3,432.28
80,Customer_79,318.22,2026-02-05,Books,31.82,350.04
81,Customer_80,81.75,2026-01-25,Electronics,8.18,89.93
82,Customer_81,221.81,2026-02-05,Electronics,22.18,243.99
83,Customer_82,391.55,2026-02-17,Electronics,39.16,430.71
84,Customer_83,305.82,2026-01-31,Clothing,30.58,336.4
85,Customer_84,185.2,2026-01-27,Electronics,18.52,203.72
